version,m,n,j,RT_j,gaps,steps,μs,r1,c1,j1,r2,c2,j2,r3,c3,j3
gap_enum1,1,3,3,5,1,1,25,0,9,54,0,8,50,0,5,46
gap_enum2,1,3,3,5,1,1,4,0,9,54,0,8,50,0,5,46
gap_enum1,1,3,2,13,2,10,4,0,9,54,0,8,50,0,5,46
gap_enum2,1,3,2,13,1,4,3,0,9,54,0,8,50,0,5,46
gap_enum1,1,3,1,22,4,33,6,0,9,54,0,8,50,0,5,46
gap_enum2,1,3,1,22,1,11,3,0,9,54,0,8,50,0,5,46
gap_enum1,2,3,3,5,1,1,2,0,8,57,0,7,54,0,5,42
gap_enum2,2,3,3,5,1,1,2,0,8,57,0,7,54,0,5,42
gap_enum1,2,3,2,12,3,10,3,0,8,57,0,7,54,0,5,42
gap_enum2,2,3,2,12,2,5,3,0,8,57,0,7,54,0,5,42
gap_enum1,2,3,1,20,4,33,4,0,8,57,0,7,54,0,5,42
gap_enum2,2,3,1,20,2,12,3,0,8,57,0,7,54,0,5,42
gap_enum1,3,3,3,5,1,1,2,0,8,54,0,4,46,0,5,42
gap_enum2,3,3,3,5,1,1,2,0,8,54,0,4,46,0,5,42
gap_enum1,3,3,2,9,2,10,3,0,8,54,0,4,46,0,5,42
gap_enum2,3,3,2,9,1,4,2,0,8,54,0,4,46,0,5,42
gap_enum1,3,3,1,17,5,33,4,0,8,54,0,4,46,0,5,42
gap_enum2,3,3,1,17,2,12,3,0,8,54,0,4,46,0,5,42
gap_enum1,4,3,3,9,1,1,2,0,5,56,0,6,56,0,9,42
gap_enum2,4,3,3,9,1,1,2,0,5,56,0,6,56,0,9,42
gap_enum1,4,3,2,15,3,10,3,0,5,56,0,6,56,0,9,42
gap_enum2,4,3,2,15,2,5,2,0,5,56,0,6,56,0,9,42
gap_enum1,4,3,1,20,4,21,3,0,5,56,0,6,56,0,9,42
gap_enum2,4,3,1,20,2,9,3,0,5,56,0,6,56,0,9,42
gap_enum1,5,3,3,4,1,1,2,0,5,58,0,8,52,0,4,43
gap_enum2,5,3,3,4,1,1,2,0,5,58,0,8,52,0,4,43
gap_enum1,5,3,2,12,3,10,3,0,5,58,0,8,52,0,4,43
gap_enum2,5,3,2,12,2,5,2,0,5,58,0,8,52,0,4,43
gap_enum1,5,3,1,17,4,33,3,0,5,58,0,8,52,0,4,43
gap_enum2,5,3,1,17,2,12,2,0,5,58,0,8,52,0,4,43
