version,m,n,j,RTj,gaps,steps,μs,r1,c1,j1,r2,c2,j2,r3,c3,j3,r4,c4,j4,r5,c5,j5
gapenum1,1,5,1,33,6,80,30,0,7,55,0,4,50,0,7,49,0,8,48,0,7,45
gapenum2,1,5,1,33,1,17,15,0,7,55,0,4,50,0,7,49,0,8,48,0,7,45
gapenum1,2,5,1,22,8,99,33,0,5,58,0,4,51,0,4,47,0,5,47,0,4,42
gapenum2,2,5,1,22,2,34,17,0,5,58,0,4,51,0,4,47,0,5,47,0,4,42
gapenum1,3,5,1,34,5,59,20,0,6,51,0,5,49,0,9,48,0,5,47,0,9,46
gapenum2,3,5,1,34,1,13,12,0,6,51,0,5,49,0,9,48,0,5,47,0,9,46
gapenum1,4,5,1,36,7,91,27,0,7,58,0,9,53,0,7,45,0,6,42,0,7,42
gapenum2,4,5,1,36,1,21,13,0,7,58,0,9,53,0,7,45,0,6,42,0,7,42
gapenum1,5,5,1,34,7,91,23,0,9,59,0,5,58,0,6,50,0,9,45,0,5,43
gapenum2,5,5,1,34,1,21,13,0,9,59,0,5,58,0,6,50,0,9,45,0,5,43
gapenum1,6,5,1,34,6,80,23,0,6,57,0,6,54,0,8,52,0,8,50,0,6,41
gapenum2,6,5,1,34,2,26,14,0,6,57,0,6,54,0,8,52,0,8,50,0,6,41
gapenum1,7,5,1,34,7,91,23,0,8,57,0,7,56,0,7,49,0,8,48,0,4,42
gapenum2,7,5,1,34,2,32,15,0,8,57,0,7,56,0,7,49,0,8,48,0,4,42
gapenum1,8,5,1,31,7,91,40,0,5,56,0,9,50,0,8,48,0,5,47,0,4,40
gapenum2,8,5,1,31,2,32,15,0,5,56,0,9,50,0,8,48,0,5,47,0,4,40
gapenum1,9,5,1,27,5,59,19,0,5,51,0,4,50,0,6,49,0,5,46,0,7,45
gapenum2,9,5,1,27,1,13,12,0,5,51,0,4,50,0,6,49,0,5,46,0,7,45
gapenum1,10,5,1,38,6,80,22,0,9,58,0,8,53,0,8,50,0,9,47,0,4,46
gapenum2,10,5,1,38,1,17,13,0,9,58,0,8,53,0,8,50,0,9,47,0,4,46
gapenum1,11,5,1,34,7,91,5,0,9,58,0,7,56,0,8,56,0,6,45,0,4,44
gapenum2,11,5,1,34,2,26,3,0,9,58,0,7,56,0,8,56,0,6,45,0,4,44
gapenum1,12,5,1,30,6,80,5,0,6,55,0,4,50,0,6,50,0,8,47,0,6,44
gapenum2,12,5,1,30,1,17,2,0,6,55,0,4,50,0,6,50,0,8,47,0,6,44
gapenum1,13,5,1,31,7,86,5,0,7,57,0,9,52,0,4,49,0,4,49,0,7,41
gapenum2,13,5,1,31,2,31,3,0,7,57,0,9,52,0,4,49,0,4,49,0,7,41
gapenum1,14,5,1,27,8,99,6,0,7,59,0,4,53,0,6,50,0,5,47,0,5,40
gapenum2,14,5,1,27,2,34,3,0,7,59,0,4,53,0,6,50,0,5,47,0,5,40
gapenum1,15,5,1,34,6,80,5,0,6,52,0,9,51,0,7,46,0,4,45,0,8,43
gapenum2,15,5,1,34,1,17,5,0,6,52,0,9,51,0,7,46,0,4,45,0,8,43
gapenum1,16,5,1,38,6,80,4,0,6,59,0,6,55,0,8,47,0,9,45,0,9,43
gapenum2,16,5,1,38,1,17,2,0,6,59,0,6,55,0,8,47,0,9,45,0,9,43
gapenum1,17,5,1,38,5,59,4,0,8,50,0,5,46,0,9,46,0,8,44,0,8,44
gapenum2,17,5,1,38,1,13,2,0,8,50,0,5,46,0,9,46,0,8,44,0,8,44
gapenum1,18,5,1,32,7,91,5,0,8,56,0,6,53,0,9,45,0,4,44,0,5,44
gapenum2,18,5,1,32,1,21,3,0,8,56,0,6,53,0,9,45,0,4,44,0,5,44
gapenum1,19,5,1,33,7,91,5,0,9,55,0,5,49,0,5,47,0,6,42,0,8,40
gapenum2,19,5,1,33,1,21,3,0,9,55,0,5,49,0,5,47,0,6,42,0,8,40
gapenum1,20,5,1,39,6,80,4,0,7,58,0,7,51,0,7,50,0,9,44,0,9,41
gapenum2,20,5,1,39,1,17,2,0,7,58,0,7,51,0,7,50,0,9,44,0,9,41
gapenum1,21,5,1,31,6,80,4,0,4,54,0,6,53,0,7,45,0,7,42,0,7,41
gapenum2,21,5,1,31,1,17,2,0,4,54,0,6,53,0,7,45,0,7,42,0,7,41
gapenum1,22,5,1,41,6,80,5,0,9,58,0,9,51,0,7,50,0,8,50,0,8,44
gapenum2,22,5,1,41,1,17,2,0,9,58,0,9,51,0,7,50,0,8,50,0,8,44
gapenum1,23,5,1,39,6,80,5,0,8,57,0,9,55,0,5,45,0,9,42,0,8,41
gapenum2,23,5,1,39,1,17,2,0,8,57,0,9,55,0,5,45,0,9,42,0,8,41
gapenum1,24,5,1,39,6,80,4,0,8,56,0,8,54,0,7,49,0,7,47,0,9,42
gapenum2,24,5,1,39,1,17,2,0,8,56,0,8,54,0,7,49,0,7,47,0,9,42
gapenum1,25,5,1,42,6,80,4,0,8,55,0,9,45,0,8,44,0,9,44,0,8,42
gapenum2,25,5,1,42,1,17,2,0,8,55,0,9,45,0,8,44,0,9,44,0,8,42
gapenum1,26,5,1,34,6,80,5,0,8,56,0,6,55,0,7,55,0,8,55,0,5,44
gapenum2,26,5,1,34,2,26,3,0,8,56,0,6,55,0,7,55,0,8,55,0,5,44
gapenum1,27,5,1,27,6,75,4,0,4,59,0,6,55,0,4,52,0,5,51,0,8,46
gapenum2,27,5,1,27,1,17,2,0,4,59,0,6,55,0,4,52,0,5,51,0,8,46
gapenum1,28,5,1,29,7,91,5,0,6,58,0,6,57,0,5,52,0,7,47,0,5,45
gapenum2,28,5,1,29,1,21,3,0,6,58,0,6,57,0,5,52,0,7,47,0,5,45
gapenum1,29,5,1,36,7,91,5,0,8,57,0,7,56,0,6,55,0,7,42,0,8,40
gapenum2,29,5,1,36,1,21,2,0,8,57,0,7,56,0,6,55,0,7,42,0,8,40
gapenum1,30,5,1,38,7,91,5,0,6,59,0,9,53,0,7,50,0,7,43,0,9,41
gapenum2,30,5,1,38,1,21,2,0,6,59,0,9,53,0,7,50,0,7,43,0,9,41
gapenum1,31,5,1,33,6,80,4,0,6,56,0,5,54,0,4,49,0,9,46,0,9,43
gapenum2,31,5,1,33,1,17,2,0,6,56,0,5,54,0,4,49,0,9,46,0,9,43
