version,m,n,j,RT_j,gaps,steps,μs,r1,c1,j1,r2,c2,j2,r3,c3,j3,r4,c4,j4,r5,c5,j5
gap_enum1,1,5,5,7,1,1,86,0,7,55,0,4,50,0,7,49,0,8,48,0,7,45
gap_enum2,1,5,5,7,1,1,16,0,7,55,0,4,50,0,7,49,0,8,48,0,7,45
gap_enum1,1,5,4,15,2,10,26,0,7,55,0,4,50,0,7,49,0,8,48,0,7,45
gap_enum2,1,5,4,15,1,4,13,0,7,55,0,4,50,0,7,49,0,8,48,0,7,45
gap_enum1,1,5,3,22,3,22,20,0,7,55,0,4,50,0,7,49,0,8,48,0,7,45
gap_enum2,1,5,3,22,1,7,12,0,7,55,0,4,50,0,7,49,0,8,48,0,7,45
gap_enum1,1,5,2,26,4,38,20,0,7,55,0,4,50,0,7,49,0,8,48,0,7,45
gap_enum2,1,5,2,26,1,10,12,0,7,55,0,4,50,0,7,49,0,8,48,0,7,45
gap_enum1,1,5,1,33,6,80,30,0,7,55,0,4,50,0,7,49,0,8,48,0,7,45
gap_enum2,1,5,1,33,1,17,15,0,7,55,0,4,50,0,7,49,0,8,48,0,7,45
gap_enum1,2,5,5,4,1,1,10,0,5,58,0,4,51,0,4,47,0,5,47,0,4,42
gap_enum2,2,5,5,4,1,1,9,0,5,58,0,4,51,0,4,47,0,5,47,0,4,42
gap_enum1,2,5,4,9,3,10,14,0,5,58,0,4,51,0,4,47,0,5,47,0,4,42
gap_enum2,2,5,4,9,2,5,12,0,5,58,0,4,51,0,4,47,0,5,47,0,4,42
gap_enum1,2,5,3,13,4,21,17,0,5,58,0,4,51,0,4,47,0,5,47,0,4,42
gap_enum2,2,5,3,13,2,9,13,0,5,58,0,4,51,0,4,47,0,5,47,0,4,42
gap_enum1,2,5,2,17,5,53,21,0,5,58,0,4,51,0,4,47,0,5,47,0,4,42
gap_enum2,2,5,2,17,2,19,15,0,5,58,0,4,51,0,4,47,0,5,47,0,4,42
gap_enum1,2,5,1,22,8,99,33,0,5,58,0,4,51,0,4,47,0,5,47,0,4,42
gap_enum2,2,5,1,22,2,34,17,0,5,58,0,4,51,0,4,47,0,5,47,0,4,42
gap_enum1,3,5,5,9,1,1,10,0,6,51,0,5,49,0,9,48,0,5,47,0,9,46
gap_enum2,3,5,5,9,1,1,9,0,6,51,0,5,49,0,9,48,0,5,47,0,9,46
gap_enum1,3,5,4,14,2,10,13,0,6,51,0,5,49,0,9,48,0,5,47,0,9,46
gap_enum2,3,5,4,14,1,4,11,0,6,51,0,5,49,0,9,48,0,5,47,0,9,46
gap_enum1,3,5,3,23,3,22,15,0,6,51,0,5,49,0,9,48,0,5,47,0,9,46
gap_enum2,3,5,3,23,1,7,11,0,6,51,0,5,49,0,9,48,0,5,47,0,9,46
gap_enum1,3,5,2,28,4,38,17,0,6,51,0,5,49,0,9,48,0,5,47,0,9,46
gap_enum2,3,5,2,28,1,10,11,0,6,51,0,5,49,0,9,48,0,5,47,0,9,46
gap_enum1,3,5,1,34,5,59,20,0,6,51,0,5,49,0,9,48,0,5,47,0,9,46
gap_enum2,3,5,1,34,1,13,12,0,6,51,0,5,49,0,9,48,0,5,47,0,9,46
gap_enum1,4,5,5,7,1,1,9,0,7,58,0,9,53,0,7,45,0,6,42,0,7,42
gap_enum2,4,5,5,7,1,1,9,0,7,58,0,9,53,0,7,45,0,6,42,0,7,42
