version,m,n,j,RTj,gaps,steps,μs,r1,c1,j1,r2,c2,j2,r3,c3,j3,r4,c4,j4,r5,c5,j5,r6,c6,j6,r7,c7,j7
gapenum1,2,7,1,-1,8,144,8,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gapenum2,2,7,1,-1,1,22,3,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gapenum1,3,7,1,-1,8,144,7,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gapenum2,3,7,1,-1,1,22,3,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gapenum1,4,7,1,-1,8,144,6,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gapenum2,4,7,1,-1,1,22,3,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gapenum1,5,7,1,-1,8,144,6,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gapenum2,5,7,1,-1,1,22,3,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gapenum1,6,7,1,40,8,141,7,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gapenum2,6,7,1,40,1,23,3,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gapenum1,8,7,1,-1,7,136,6,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gapenum2,8,7,1,-1,0,21,3,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gapenum1,9,7,1,39,9,155,9,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gapenum2,9,7,1,39,1,27,3,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gapenum1,10,7,1,42,9,160,7,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gapenum2,10,7,1,42,1,27,3,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gapenum1,11,7,1,44,8,131,6,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gapenum2,11,7,1,44,1,22,3,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gapenum1,15,7,1,-1,9,163,8,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gapenum2,15,7,1,-1,0,29,3,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gapenum1,17,7,1,45,8,146,6,0,6,56,0,8,55,0,6,54,0,6,52,0,7,51,0,7,47,0,5,45
gapenum2,17,7,1,45,1,23,3,0,6,56,0,8,55,0,6,54,0,6,52,0,7,51,0,7,47,0,5,45
gapenum1,18,7,1,40,10,172,8,0,8,58,0,8,54,0,4,47,0,5,43,0,5,42,0,4,41,0,6,40
