version,m,n,j,RT_j,gaps,steps,μs,r1,r1,r1,r2,r2,r2,r3,r3,r3,r4,r4,r4,r5,r5,r5,r6,r6,r6,r7,r7,r7
gap_enum1,1,7,7,9,1,1,24,0,8,55,0,8,52,0,9,50,0,5,48,0,5,48,0,7,41,0,9,40
gap_enum2,1,7,7,9,1,1,4,0,8,55,0,8,52,0,9,50,0,5,48,0,5,48,0,7,41,0,9,40
gap_enum1,1,7,6,16,2,10,6,0,8,55,0,8,52,0,9,50,0,5,48,0,5,48,0,7,41,0,9,40
gap_enum2,1,7,6,16,1,4,3,0,8,55,0,8,52,0,9,50,0,5,48,0,5,48,0,7,41,0,9,40
gap_enum1,1,7,5,21,3,22,4,0,8,55,0,8,52,0,9,50,0,5,48,0,5,48,0,7,41,0,9,40
gap_enum2,1,7,5,21,1,7,3,0,8,55,0,8,52,0,9,50,0,5,48,0,5,48,0,7,41,0,9,40
gap_enum1,1,7,4,26,4,31,5,0,8,55,0,8,52,0,9,50,0,5,48,0,5,48,0,7,41,0,9,40
gap_enum2,1,7,4,26,1,9,3,0,8,55,0,8,52,0,9,50,0,5,48,0,5,48,0,7,41,0,9,40
gap_enum1,1,7,3,35,6,80,7,0,8,55,0,8,52,0,9,50,0,5,48,0,5,48,0,7,41,0,9,40
gap_enum2,1,7,3,35,1,17,3,0,8,55,0,8,52,0,9,50,0,5,48,0,5,48,0,7,41,0,9,40
gap_enum1,1,7,2,-1,7,108,7,0,8,55,0,8,52,0,9,50,0,5,48,0,5,48,0,7,41,0,9,40
gap_enum2,1,7,2,-1,1,19,3,0,8,55,0,8,52,0,9,50,0,5,48,0,5,48,0,7,41,0,9,40
gap_enum1,2,7,7,9,1,1,2,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gap_enum2,2,7,7,9,1,1,2,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gap_enum1,2,7,6,17,2,10,3,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gap_enum2,2,7,6,17,1,4,2,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gap_enum1,2,7,5,24,3,22,3,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gap_enum2,2,7,5,24,1,7,2,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gap_enum1,2,7,4,29,4,38,4,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gap_enum2,2,7,4,29,1,10,2,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gap_enum1,2,7,3,36,6,80,5,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gap_enum2,2,7,3,36,1,17,3,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gap_enum1,2,7,2,42,7,109,6,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gap_enum2,2,7,2,42,1,20,3,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gap_enum1,2,7,1,-1,8,144,8,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gap_enum2,2,7,1,-1,1,22,3,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gap_enum1,3,7,7,8,1,1,2,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gap_enum2,3,7,7,8,1,1,2,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gap_enum1,3,7,6,16,2,10,3,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gap_enum2,3,7,6,16,1,4,2,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gap_enum1,3,7,5,20,3,22,3,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gap_enum2,3,7,5,20,1,7,2,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gap_enum1,3,7,4,27,4,35,4,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gap_enum2,3,7,4,27,1,10,3,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gap_enum1,3,7,3,35,6,80,5,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gap_enum2,3,7,3,35,1,17,3,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gap_enum1,3,7,2,41,7,109,6,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gap_enum2,3,7,2,41,1,20,3,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gap_enum1,3,7,1,-1,8,144,7,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gap_enum2,3,7,1,-1,1,22,3,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gap_enum1,4,7,7,7,1,1,2,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gap_enum2,4,7,7,7,1,1,2,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gap_enum1,4,7,6,16,2,10,3,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gap_enum2,4,7,6,16,1,4,2,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gap_enum1,4,7,5,23,3,22,3,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gap_enum2,4,7,5,23,1,7,2,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gap_enum1,4,7,4,28,5,53,4,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gap_enum2,4,7,4,28,1,14,3,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gap_enum1,4,7,3,33,6,80,5,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gap_enum2,4,7,3,33,1,17,3,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gap_enum1,4,7,2,39,7,109,6,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gap_enum2,4,7,2,39,1,20,3,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gap_enum1,4,7,1,-1,8,144,6,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gap_enum2,4,7,1,-1,1,22,3,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gap_enum1,5,7,7,6,1,1,2,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gap_enum2,5,7,7,6,1,1,2,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gap_enum1,5,7,6,15,2,10,3,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gap_enum2,5,7,6,15,1,4,2,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gap_enum1,5,7,5,20,3,22,3,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gap_enum2,5,7,5,20,1,7,2,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gap_enum1,5,7,4,29,4,38,4,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gap_enum2,5,7,4,29,1,10,2,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gap_enum1,5,7,3,33,6,80,5,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gap_enum2,5,7,3,33,1,17,3,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gap_enum1,5,7,2,40,7,109,6,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gap_enum2,5,7,2,40,1,20,3,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gap_enum1,5,7,1,-1,8,144,6,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gap_enum2,5,7,1,-1,1,22,3,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gap_enum1,6,7,7,8,1,1,2,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gap_enum2,6,7,7,8,1,1,2,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gap_enum1,6,7,6,13,2,10,3,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gap_enum2,6,7,6,13,1,4,2,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gap_enum1,6,7,5,18,3,19,3,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gap_enum2,6,7,5,18,1,7,2,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gap_enum1,6,7,4,22,5,53,4,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gap_enum2,6,7,4,22,1,14,3,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gap_enum1,6,7,3,29,6,80,5,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gap_enum2,6,7,3,29,1,17,3,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gap_enum1,6,7,2,36,7,109,6,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gap_enum2,6,7,2,36,1,20,3,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gap_enum1,6,7,1,40,8,141,7,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gap_enum2,6,7,1,40,1,23,3,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gap_enum1,7,7,7,8,1,1,2,0,6,54,0,6,48,0,7,48,0,8,48,0,8,45,0,7,43,0,8,40
gap_enum2,7,7,7,8,1,1,2,0,6,54,0,6,48,0,7,48,0,8,48,0,8,45,0,7,43,0,8,40
