version,m,n,j,RT_j,gaps,steps,μs,r1,c1,j1,r2,c2,j2,r3,c3,j3,r4,c4,j4,r5,c5,j5,r6,c6,j6,r7,c7,j7
gap_enum1,1,7,7,9,1,1,85,0,8,55,0,8,52,0,9,50,0,5,48,0,5,48,0,7,41,0,9,40
gap_enum2,1,7,7,9,1,1,17,0,8,55,0,8,52,0,9,50,0,5,48,0,5,48,0,7,41,0,9,40
gap_enum1,1,7,6,16,2,10,20,0,8,55,0,8,52,0,9,50,0,5,48,0,5,48,0,7,41,0,9,40
gap_enum2,1,7,6,16,1,6,12,0,8,55,0,8,52,0,9,50,0,5,48,0,5,48,0,7,41,0,9,40
gap_enum1,1,7,5,21,3,22,20,0,8,55,0,8,52,0,9,50,0,5,48,0,5,48,0,7,41,0,9,40
gap_enum2,1,7,5,21,1,11,11,0,8,55,0,8,52,0,9,50,0,5,48,0,5,48,0,7,41,0,9,40
gap_enum1,1,7,4,26,4,31,20,0,8,55,0,8,52,0,9,50,0,5,48,0,5,48,0,7,41,0,9,40
gap_enum2,1,7,4,26,1,14,10,0,8,55,0,8,52,0,9,50,0,5,48,0,5,48,0,7,41,0,9,40
gap_enum1,1,7,3,35,6,80,31,0,8,55,0,8,52,0,9,50,0,5,48,0,5,48,0,7,41,0,9,40
gap_enum2,1,7,3,35,1,24,12,0,8,55,0,8,52,0,9,50,0,5,48,0,5,48,0,7,41,0,9,40
gap_enum1,1,7,2,-1,7,108,32,0,8,55,0,8,52,0,9,50,0,5,48,0,5,48,0,7,41,0,9,40
gap_enum2,1,7,2,-1,1,30,12,0,8,55,0,8,52,0,9,50,0,5,48,0,5,48,0,7,41,0,9,40
gap_enum1,2,7,7,9,1,1,10,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gap_enum2,2,7,7,9,1,1,10,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gap_enum1,2,7,6,17,2,10,13,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gap_enum2,2,7,6,17,1,6,10,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gap_enum1,2,7,5,24,3,22,16,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gap_enum2,2,7,5,24,1,11,10,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gap_enum1,2,7,4,29,4,38,17,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gap_enum2,2,7,4,29,1,16,10,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gap_enum1,2,7,3,36,6,80,23,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gap_enum2,2,7,3,36,1,24,10,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gap_enum1,2,7,2,42,7,109,26,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gap_enum2,2,7,2,42,1,29,10,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gap_enum1,2,7,1,-1,8,144,32,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gap_enum2,2,7,1,-1,1,35,11,0,8,59,0,6,57,0,7,54,0,5,52,0,7,50,0,8,49,0,9,44
gap_enum1,3,7,7,8,1,1,10,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gap_enum2,3,7,7,8,1,1,9,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gap_enum1,3,7,6,16,2,10,12,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gap_enum2,3,7,6,16,1,6,9,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gap_enum1,3,7,5,20,3,22,15,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gap_enum2,3,7,5,20,1,11,9,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gap_enum1,3,7,4,27,4,35,18,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gap_enum2,3,7,4,27,1,16,10,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gap_enum1,3,7,3,35,6,80,22,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
